Date,Away Team,Away Code,Home Team,Home Code
"Wed, Mar 6, 2024",Oklahoma City Thunder,OKC,Portland Trail Blazers,POR
"Wed, Mar 6, 2024",Sacramento Kings,SAC,Los Angeles Lakers,LAL
"Thu, Mar 7, 2024",Brooklyn Nets,BKN,Detroit Pistons,DET
"Thu, Mar 7, 2024",Minnesota Timberwolves,MIN,Indiana Pacers,IND
"Thu, Mar 7, 2024",Miami Heat,MIA,Dallas Mavericks,DAL
"Thu, Mar 7, 2024",Toronto Raptors,TOR,Phoenix Suns,PHO
"Thu, Mar 7, 2024",Boston Celtics,BOS,Denver Nuggets,DEN
"Thu, Mar 7, 2024",Chicago Bulls,CHI,Golden State Warriors,GSW
"Thu, Mar 7, 2024",San Antonio Spurs,SAS,Sacramento Kings,SAC
"Fri, Mar 8, 2024",New Orleans Pelicans,NOP,Philadelphia 76ers,PHI
"Fri, Mar 8, 2024",Charlotte Hornets,CHA,Washington Wizards,WAS
"Fri, Mar 8, 2024",Minnesota Timberwolves,MIN,Cleveland Cavaliers,CLE
"Fri, Mar 8, 2024",Atlanta Hawks,ATL,Memphis Grizzlies,MEM
"Fri, Mar 8, 2024",Orlando Magic,ORL,New York Knicks,NYK
"Fri, Mar 8, 2024",Miami Heat,MIA,Oklahoma City Thunder,OKC
"Fri, Mar 8, 2024",Milwaukee Bucks,MIL,Los Angeles Lakers,LAL
"Fri, Mar 8, 2024",Houston Rockets,HOU,Portland Trail Blazers,POR
"Sat, Mar 9, 2024",Chicago Bulls,CHI,Los Angeles Clippers,LAC
"Sat, Mar 9, 2024",Brooklyn Nets,BKN,Charlotte Hornets,CHA
"Sat, Mar 9, 2024",Dallas Mavericks,DAL,Detroit Pistons,DET
"Sat, Mar 9, 2024",San Antonio Spurs,SAS,Golden State Warriors,GSW
"Sat, Mar 9, 2024",Boston Celtics,BOS,Phoenix Suns,PHO
"Sat, Mar 9, 2024",Utah Jazz,UTA,Denver Nuggets,DEN
"Sat, Mar 9, 2024",Toronto Raptors,TOR,Portland Trail Blazers,POR
"Sun, Mar 10, 2024",Milwaukee Bucks,MIL,Los Angeles Clippers,LAC
"Sun, Mar 10, 2024",New Orleans Pelicans,NOP,Atlanta Hawks,ATL
"Sun, Mar 10, 2024",Washington Wizards,WAS,Miami Heat,MIA
"Sun, Mar 10, 2024",Philadelphia 76ers,PHI,New York Knicks,NYK
"Sun, Mar 10, 2024",Indiana Pacers,IND,Orlando Magic,ORL
"Sun, Mar 10, 2024",Houston Rockets,HOU,Sacramento Kings,SAC
"Sun, Mar 10, 2024",Brooklyn Nets,BKN,Cleveland Cavaliers,CLE
"Sun, Mar 10, 2024",Memphis Grizzlies,MEM,Oklahoma City Thunder,OKC
"Sun, Mar 10, 2024",Minnesota Timberwolves,MIN,Los Angeles Lakers,LAL
"Mon, Mar 11, 2024",Charlotte Hornets,CHA,Detroit Pistons,DET
"Mon, Mar 11, 2024",Phoenix Suns,PHO,Cleveland Cavaliers,CLE
"Mon, Mar 11, 2024",Dallas Mavericks,DAL,Chicago Bulls,CHI
"Mon, Mar 11, 2024",Golden State Warriors,GSW,San Antonio Spurs,SAS
"Mon, Mar 11, 2024",Toronto Raptors,TOR,Denver Nuggets,DEN
"Mon, Mar 11, 2024",Boston Celtics,BOS,Portland Trail Blazers,POR
"Tue, Mar 12, 2024",Philadelphia 76ers,PHI,New York Knicks,NYK
"Tue, Mar 12, 2024",Washington Wizards,WAS,Memphis Grizzlies,MEM
"Tue, Mar 12, 2024",Indiana Pacers,IND,Oklahoma City Thunder,OKC
"Tue, Mar 12, 2024",Houston Rockets,HOU,San Antonio Spurs,SAS
"Tue, Mar 12, 2024",Boston Celtics,BOS,Utah Jazz,UTA
"Tue, Mar 12, 2024",Minnesota Timberwolves,MIN,Los Angeles Clippers,LAC
"Tue, Mar 12, 2024",Milwaukee Bucks,MIL,Sacramento Kings,SAC
"Wed, Mar 13, 2024",Toronto Raptors,TOR,Detroit Pistons,DET
"Wed, Mar 13, 2024",Brooklyn Nets,BKN,Orlando Magic,ORL
"Wed, Mar 13, 2024",Chicago Bulls,CHI,Indiana Pacers,IND
"Wed, Mar 13, 2024",Denver Nuggets,DEN,Miami Heat,MIA
"Wed, Mar 13, 2024",Charlotte Hornets,CHA,Memphis Grizzlies,MEM
"Wed, Mar 13, 2024",Cleveland Cavaliers,CLE,New Orleans Pelicans,NOP
"Wed, Mar 13, 2024",Golden State Warriors,GSW,Dallas Mavericks,DAL
"Wed, Mar 13, 2024",Atlanta Hawks,ATL,Portland Trail Blazers,POR
"Wed, Mar 13, 2024",Los Angeles Lakers,LAL,Sacramento Kings,SAC
"Thu, Mar 14, 2024",Phoenix Suns,PHO,Boston Celtics,BOS
"Thu, Mar 14, 2024",Los Angeles Clippers,LAC,Chicago Bulls,CHI
"Thu, Mar 14, 2024",Washington Wizards,WAS,Houston Rockets,HOU
"Thu, Mar 14, 2024",Philadelphia 76ers,PHI,Milwaukee Bucks,MIL
"Thu, Mar 14, 2024",Dallas Mavericks,DAL,Oklahoma City Thunder,OKC
"Thu, Mar 14, 2024",New York Knicks,NYK,Portland Trail Blazers,POR
"Fri, Mar 15, 2024",Phoenix Suns,PHO,Charlotte Hornets,CHA
"Fri, Mar 15, 2024",Miami Heat,MIA,Detroit Pistons,DET
"Fri, Mar 15, 2024",Orlando Magic,ORL,Toronto Raptors,TOR
"Fri, Mar 15, 2024",Los Angeles Clippers,LAC,New Orleans Pelicans,NOP
"Fri, Mar 15, 2024",Denver Nuggets,DEN,San Antonio Spurs,SAS
"Fri, Mar 15, 2024",Atlanta Hawks,ATL,Utah Jazz,UTA
"Sat, Mar 16, 2024",Cleveland Cavaliers,CLE,Houston Rockets,HOU
"Sat, Mar 16, 2024",Brooklyn Nets,BKN,Indiana Pacers,IND
"Sat, Mar 16, 2024",Portland Trail Blazers,POR,New Orleans Pelicans,NOP
"Sat, Mar 16, 2024",Charlotte Hornets,CHA,Philadelphia 76ers,PHI
"Sat, Mar 16, 2024",Washington Wizards,WAS,Chicago Bulls,CHI
"Sat, Mar 16, 2024",Oklahoma City Thunder,OKC,Memphis Grizzlies,MEM
"Sat, Mar 16, 2024",Golden State Warriors,GSW,Los Angeles Lakers,LAL
"Sat, Mar 16, 2024",Minnesota Timberwolves,MIN,Utah Jazz,UTA
"Sat, Mar 16, 2024",New York Knicks,NYK,Sacramento Kings,SAC
"Sun, Mar 17, 2024",Phoenix Suns,PHO,Milwaukee Bucks,MIL
"Sun, Mar 17, 2024",Miami Heat,MIA,Detroit Pistons,DET
"Sun, Mar 17, 2024",Denver Nuggets,DEN,Dallas Mavericks,DAL
"Sun, Mar 17, 2024",Toronto Raptors,TOR,Orlando Magic,ORL
"Sun, Mar 17, 2024",Boston Celtics,BOS,Washington Wizards,WAS
"Sun, Mar 17, 2024",Brooklyn Nets,BKN,San Antonio Spurs,SAS
"Sun, Mar 17, 2024",Atlanta Hawks,ATL,Los Angeles Clippers,LAC
"Mon, Mar 18, 2024",Cleveland Cavaliers,CLE,Indiana Pacers,IND
"Mon, Mar 18, 2024",Detroit Pistons,DET,Boston Celtics,BOS
"Mon, Mar 18, 2024",Miami Heat,MIA,Philadelphia 76ers,PHI
"Mon, Mar 18, 2024",Portland Trail Blazers,POR,Chicago Bulls,CHI
"Mon, Mar 18, 2024",Minnesota Timberwolves,MIN,Utah Jazz,UTA
"Mon, Mar 18, 2024",New York Knicks,NYK,Golden State Warriors,GSW
"Mon, Mar 18, 2024",Memphis Grizzlies,MEM,Sacramento Kings,SAC
"Mon, Mar 18, 2024",Atlanta Hawks,ATL,Los Angeles Lakers,LAL
"Tue, Mar 19, 2024",Charlotte Hornets,CHA,Orlando Magic,ORL
"Tue, Mar 19, 2024",Houston Rockets,HOU,Washington Wizards,WAS
"Tue, Mar 19, 2024",New Orleans Pelicans,NOP,Brooklyn Nets,BKN
"Tue, Mar 19, 2024",Dallas Mavericks,DAL,San Antonio Spurs,SAS
"Tue, Mar 19, 2024",Denver Nuggets,DEN,Minnesota Timberwolves,MIN
"Wed, Mar 20, 2024",Miami Heat,MIA,Cleveland Cavaliers,CLE
"Wed, Mar 20, 2024",Indiana Pacers,IND,Detroit Pistons,DET
"Wed, Mar 20, 2024",Milwaukee Bucks,MIL,Boston Celtics,BOS
"Wed, Mar 20, 2024",Sacramento Kings,SAC,Toronto Raptors,TOR
"Wed, Mar 20, 2024",Utah Jazz,UTA,Oklahoma City Thunder,OKC
"Wed, Mar 20, 2024",Memphis Grizzlies,MEM,Golden State Warriors,GSW
"Wed, Mar 20, 2024",Philadelphia 76ers,PHI,Phoenix Suns,PHO
"Wed, Mar 20, 2024",Los Angeles Clippers,LAC,Portland Trail Blazers,POR
"Thu, Mar 21, 2024",New Orleans Pelicans,NOP,Orlando Magic,ORL
"Thu, Mar 21, 2024",Sacramento Kings,SAC,Washington Wizards,WAS
"Thu, Mar 21, 2024",Chicago Bulls,CHI,Houston Rockets,HOU
"Thu, Mar 21, 2024",Brooklyn Nets,BKN,Milwaukee Bucks,MIL
"Thu, Mar 21, 2024",Utah Jazz,UTA,Dallas Mavericks,DAL
"Thu, Mar 21, 2024",New York Knicks,NYK,Denver Nuggets,DEN
"Thu, Mar 21, 2024",Atlanta Hawks,ATL,Phoenix Suns,PHO
"Fri, Mar 22, 2024",Boston Celtics,BOS,Detroit Pistons,DET
"Fri, Mar 22, 2024",Oklahoma City Thunder,OKC,Toronto Raptors,TOR
"Fri, Mar 22, 2024",New Orleans Pelicans,NOP,Miami Heat,MIA
"Fri, Mar 22, 2024",Cleveland Cavaliers,CLE,Minnesota Timberwolves,MIN
"Fri, Mar 22, 2024",Memphis Grizzlies,MEM,San Antonio Spurs,SAS
"Fri, Mar 22, 2024",Indiana Pacers,IND,Golden State Warriors,GSW
"Fri, Mar 22, 2024",Los Angeles Clippers,LAC,Portland Trail Blazers,POR
"Fri, Mar 22, 2024",Philadelphia 76ers,PHI,Los Angeles Lakers,LAL
"Sat, Mar 23, 2024",Brooklyn Nets,BKN,New York Knicks,NYK
"Sat, Mar 23, 2024",Sacramento Kings,SAC,Orlando Magic,ORL
"Sat, Mar 23, 2024",Charlotte Hornets,CHA,Atlanta Hawks,ATL
"Sat, Mar 23, 2024",Boston Celtics,BOS,Chicago Bulls,CHI
"Sat, Mar 23, 2024",Utah Jazz,UTA,Houston Rockets,HOU
"Sat, Mar 23, 2024",Phoenix Suns,PHO,San Antonio Spurs,SAS
"Sat, Mar 23, 2024",Toronto Raptors,TOR,Washington Wizards,WAS
"Sat, Mar 23, 2024",Denver Nuggets,DEN,Portland Trail Blazers,POR
"Sun, Mar 24, 2024",New Orleans Pelicans,NOP,Detroit Pistons,DET
"Sun, Mar 24, 2024",Philadelphia 76ers,PHI,Los Angeles Clippers,LAC
"Sun, Mar 24, 2024",Cleveland Cavaliers,CLE,Miami Heat,MIA
"Sun, Mar 24, 2024",Oklahoma City Thunder,OKC,Milwaukee Bucks,MIL
"Sun, Mar 24, 2024",Golden State Warriors,GSW,Minnesota Timberwolves,MIN
"Sun, Mar 24, 2024",Indiana Pacers,IND,Los Angeles Lakers,LAL
"Mon, Mar 25, 2024",Charlotte Hornets,CHA,Cleveland Cavaliers,CLE
"Mon, Mar 25, 2024",Boston Celtics,BOS,Atlanta Hawks,ATL
"Mon, Mar 25, 2024",Detroit Pistons,DET,New York Knicks,NYK
"Mon, Mar 25, 2024",Brooklyn Nets,BKN,Toronto Raptors,TOR
"Mon, Mar 25, 2024",Washington Wizards,WAS,Chicago Bulls,CHI
"Mon, Mar 25, 2024",Portland Trail Blazers,POR,Houston Rockets,HOU
"Mon, Mar 25, 2024",Phoenix Suns,PHO,San Antonio Spurs,SAS
"Mon, Mar 25, 2024",Memphis Grizzlies,MEM,Denver Nuggets,DEN
"Mon, Mar 25, 2024",Dallas Mavericks,DAL,Utah Jazz,UTA
"Mon, Mar 25, 2024",Philadelphia 76ers,PHI,Sacramento Kings,SAC
"Mon, Mar 25, 2024",Indiana Pacers,IND,Los Angeles Clippers,LAC
"Tue, Mar 26, 2024",Golden State Warriors,GSW,Miami Heat,MIA
"Tue, Mar 26, 2024",Los Angeles Lakers,LAL,Milwaukee Bucks,MIL
"Tue, Mar 26, 2024",Oklahoma City Thunder,OKC,New Orleans Pelicans,NOP
"Tue, Mar 26, 2024",Dallas Mavericks,DAL,Sacramento Kings,SAC
"Wed, Mar 27, 2024",Cleveland Cavaliers,CLE,Charlotte Hornets,CHA
"Wed, Mar 27, 2024",Golden State Warriors,GSW,Orlando Magic,ORL
"Wed, Mar 27, 2024",Brooklyn Nets,BKN,Washington Wizards,WAS
"Wed, Mar 27, 2024",Portland Trail Blazers,POR,Atlanta Hawks,ATL
"Wed, Mar 27, 2024",Los Angeles Clippers,LAC,Philadelphia 76ers,PHI
"Wed, Mar 27, 2024",New York Knicks,NYK,Toronto Raptors,TOR
"Wed, Mar 27, 2024",Indiana Pacers,IND,Chicago Bulls,CHI
"Wed, Mar 27, 2024",Los Angeles Lakers,LAL,Memphis Grizzlies,MEM
"Wed, Mar 27, 2024",Detroit Pistons,DET,Minnesota Timberwolves,MIN
"Wed, Mar 27, 2024",Houston Rockets,HOU,Oklahoma City Thunder,OKC
"Wed, Mar 27, 2024",San Antonio Spurs,SAS,Utah Jazz,UTA
"Wed, Mar 27, 2024",Phoenix Suns,PHO,Denver Nuggets,DEN
"Thu, Mar 28, 2024",Boston Celtics,BOS,Atlanta Hawks,ATL
"Thu, Mar 28, 2024",Milwaukee Bucks,MIL,New Orleans Pelicans,NOP
"Fri, Mar 29, 2024",Golden State Warriors,GSW,Charlotte Hornets,CHA
"Fri, Mar 29, 2024",Los Angeles Lakers,LAL,Indiana Pacers,IND
"Fri, Mar 29, 2024",Los Angeles Clippers,LAC,Orlando Magic,ORL
"Fri, Mar 29, 2024",Detroit Pistons,DET,Washington Wizards,WAS
"Fri, Mar 29, 2024",Chicago Bulls,CHI,Brooklyn Nets,BKN
"Fri, Mar 29, 2024",Philadelphia 76ers,PHI,Cleveland Cavaliers,CLE
"Fri, Mar 29, 2024",Portland Trail Blazers,POR,Miami Heat,MIA
"Fri, Mar 29, 2024",Phoenix Suns,PHO,Oklahoma City Thunder,OKC
"Fri, Mar 29, 2024",New York Knicks,NYK,San Antonio Spurs,SAS
"Fri, Mar 29, 2024",Minnesota Timberwolves,MIN,Denver Nuggets,DEN
"Fri, Mar 29, 2024",Houston Rockets,HOU,Utah Jazz,UTA
"Fri, Mar 29, 2024",Dallas Mavericks,DAL,Sacramento Kings,SAC
"Sat, Mar 30, 2024",Boston Celtics,BOS,New Orleans Pelicans,NOP
"Sat, Mar 30, 2024",Memphis Grizzlies,MEM,Orlando Magic,ORL
"Sat, Mar 30, 2024",Milwaukee Bucks,MIL,Atlanta Hawks,ATL
"Sun, Mar 31, 2024",Cleveland Cavaliers,CLE,Denver Nuggets,DEN
"Sun, Mar 31, 2024",Los Angeles Lakers,LAL,Brooklyn Nets,BKN
"Sun, Mar 31, 2024",Los Angeles Clippers,LAC,Charlotte Hornets,CHA
"Sun, Mar 31, 2024",Philadelphia 76ers,PHI,Toronto Raptors,TOR
"Sun, Mar 31, 2024",Miami Heat,MIA,Washington Wizards,WAS
"Sun, Mar 31, 2024",Dallas Mavericks,DAL,Houston Rockets,HOU
"Sun, Mar 31, 2024",Chicago Bulls,CHI,Minnesota Timberwolves,MIN
"Sun, Mar 31, 2024",Oklahoma City Thunder,OKC,New York Knicks,NYK
"Sun, Mar 31, 2024",Golden State Warriors,GSW,San Antonio Spurs,SAS
"Sun, Mar 31, 2024",Utah Jazz,UTA,Sacramento Kings,SAC
"Mon, Apr 1, 2024",Boston Celtics,BOS,Charlotte Hornets,CHA
"Mon, Apr 1, 2024",Memphis Grizzlies,MEM,Detroit Pistons,DET
"Mon, Apr 1, 2024",Brooklyn Nets,BKN,Indiana Pacers,IND
"Mon, Apr 1, 2024",Portland Trail Blazers,POR,Orlando Magic,ORL
"Mon, Apr 1, 2024",Atlanta Hawks,ATL,Chicago Bulls,CHI
"Mon, Apr 1, 2024",Phoenix Suns,PHO,New Orleans Pelicans,NOP
"Tue, Apr 2, 2024",Oklahoma City Thunder,OKC,Philadelphia 76ers,PHI
"Tue, Apr 2, 2024",Los Angeles Lakers,LAL,Toronto Raptors,TOR
"Tue, Apr 2, 2024",Milwaukee Bucks,MIL,Washington Wizards,WAS
"Tue, Apr 2, 2024",Golden State Warriors,GSW,Dallas Mavericks,DAL
"Tue, Apr 2, 2024",New York Knicks,NYK,Miami Heat,MIA
"Tue, Apr 2, 2024",Houston Rockets,HOU,Minnesota Timberwolves,MIN
"Tue, Apr 2, 2024",San Antonio Spurs,SAS,Denver Nuggets,DEN
"Tue, Apr 2, 2024",Cleveland Cavaliers,CLE,Utah Jazz,UTA
"Tue, Apr 2, 2024",Los Angeles Clippers,LAC,Sacramento Kings,SAC
"Wed, Apr 3, 2024",Portland Trail Blazers,POR,Charlotte Hornets,CHA
"Wed, Apr 3, 2024",Los Angeles Lakers,LAL,Washington Wizards,WAS
"Wed, Apr 3, 2024",Detroit Pistons,DET,Atlanta Hawks,ATL
"Wed, Apr 3, 2024",Oklahoma City Thunder,OKC,Boston Celtics,BOS
"Wed, Apr 3, 2024",Indiana Pacers,IND,Brooklyn Nets,BKN
"Wed, Apr 3, 2024",Memphis Grizzlies,MEM,Milwaukee Bucks,MIL
"Wed, Apr 3, 2024",Toronto Raptors,TOR,Minnesota Timberwolves,MIN
"Wed, Apr 3, 2024",Orlando Magic,ORL,New Orleans Pelicans,NOP
"Wed, Apr 3, 2024",Cleveland Cavaliers,CLE,Phoenix Suns,PHO
"Thu, Apr 4, 2024",Philadelphia 76ers,PHI,Miami Heat,MIA
"Thu, Apr 4, 2024",Sacramento Kings,SAC,New York Knicks,NYK
"Thu, Apr 4, 2024",Golden State Warriors,GSW,Houston Rockets,HOU
"Thu, Apr 4, 2024",Denver Nuggets,DEN,Los Angeles Clippers,LAC
"Fri, Apr 5, 2024",Orlando Magic,ORL,Charlotte Hornets,CHA
"Fri, Apr 5, 2024",Oklahoma City Thunder,OKC,Indiana Pacers,IND
"Fri, Apr 5, 2024",Portland Trail Blazers,POR,Washington Wizards,WAS
"Fri, Apr 5, 2024",Sacramento Kings,SAC,Boston Celtics,BOS
"Fri, Apr 5, 2024",New York Knicks,NYK,Chicago Bulls,CHI
"Fri, Apr 5, 2024",Miami Heat,MIA,Houston Rockets,HOU
"Fri, Apr 5, 2024",Detroit Pistons,DET,Memphis Grizzlies,MEM
"Fri, Apr 5, 2024",Toronto Raptors,TOR,Milwaukee Bucks,MIL
"Fri, Apr 5, 2024",San Antonio Spurs,SAS,New Orleans Pelicans,NOP
"Fri, Apr 5, 2024",Atlanta Hawks,ATL,Dallas Mavericks,DAL
"Fri, Apr 5, 2024",Minnesota Timberwolves,MIN,Phoenix Suns,PHO
"Fri, Apr 5, 2024",Utah Jazz,UTA,Los Angeles Clippers,LAC
"Sat, Apr 6, 2024",Cleveland Cavaliers,CLE,Los Angeles Lakers,LAL
"Sat, Apr 6, 2024",Detroit Pistons,DET,Brooklyn Nets,BKN
"Sat, Apr 6, 2024",Philadelphia 76ers,PHI,Memphis Grizzlies,MEM
"Sat, Apr 6, 2024",Atlanta Hawks,ATL,Denver Nuggets,DEN
"Sun, Apr 7, 2024",Houston Rockets,HOU,Dallas Mavericks,DAL
"Sun, Apr 7, 2024",Cleveland Cavaliers,CLE,Los Angeles Clippers,LAC
"Sun, Apr 7, 2024",Miami Heat,MIA,Indiana Pacers,IND
"Sun, Apr 7, 2024",Portland Trail Blazers,POR,Boston Celtics,BOS
"Sun, Apr 7, 2024",Oklahoma City Thunder,OKC,Charlotte Hornets,CHA
"Sun, Apr 7, 2024",Chicago Bulls,CHI,Orlando Magic,ORL
"Sun, Apr 7, 2024",New Orleans Pelicans,NOP,Phoenix Suns,PHO
"Sun, Apr 7, 2024",Washington Wizards,WAS,Toronto Raptors,TOR
"Sun, Apr 7, 2024",New York Knicks,NYK,Milwaukee Bucks,MIL
"Sun, Apr 7, 2024",Philadelphia 76ers,PHI,San Antonio Spurs,SAS
"Sun, Apr 7, 2024",Sacramento Kings,SAC,Brooklyn Nets,BKN
"Sun, Apr 7, 2024",Utah Jazz,UTA,Golden State Warriors,GSW
"Sun, Apr 7, 2024",Minnesota Timberwolves,MIN,Los Angeles Lakers,LAL
"Tue, Apr 9, 2024",Dallas Mavericks,DAL,Charlotte Hornets,CHA
"Tue, Apr 9, 2024",Detroit Pistons,DET,Philadelphia 76ers,PHI
"Tue, Apr 9, 2024",Indiana Pacers,IND,Toronto Raptors,TOR
"Tue, Apr 9, 2024",Miami Heat,MIA,Atlanta Hawks,ATL
"Tue, Apr 9, 2024",Boston Celtics,BOS,Milwaukee Bucks,MIL
"Tue, Apr 9, 2024",New York Knicks,NYK,Chicago Bulls,CHI
"Tue, Apr 9, 2024",Orlando Magic,ORL,Houston Rockets,HOU
"Tue, Apr 9, 2024",San Antonio Spurs,SAS,Memphis Grizzlies,MEM
"Tue, Apr 9, 2024",Washington Wizards,WAS,Minnesota Timberwolves,MIN
"Tue, Apr 9, 2024",Sacramento Kings,SAC,Oklahoma City Thunder,OKC
"Tue, Apr 9, 2024",Denver Nuggets,DEN,Utah Jazz,UTA
"Tue, Apr 9, 2024",Golden State Warriors,GSW,Los Angeles Lakers,LAL
"Tue, Apr 9, 2024",Los Angeles Clippers,LAC,Phoenix Suns,PHO
"Tue, Apr 9, 2024",New Orleans Pelicans,NOP,Portland Trail Blazers,POR
"Wed, Apr 10, 2024",Memphis Grizzlies,MEM,Cleveland Cavaliers,CLE
"Wed, Apr 10, 2024",Charlotte Hornets,CHA,Atlanta Hawks,ATL
"Wed, Apr 10, 2024",Toronto Raptors,TOR,Brooklyn Nets,BKN
"Wed, Apr 10, 2024",Dallas Mavericks,DAL,Miami Heat,MIA
"Wed, Apr 10, 2024",Orlando Magic,ORL,Milwaukee Bucks,MIL
"Wed, Apr 10, 2024",San Antonio Spurs,SAS,Oklahoma City Thunder,OKC
"Wed, Apr 10, 2024",Minnesota Timberwolves,MIN,Denver Nuggets,DEN
"Wed, Apr 10, 2024",Phoenix Suns,PHO,Los Angeles Clippers,LAC
"Thu, Apr 11, 2024",Chicago Bulls,CHI,Detroit Pistons,DET
"Thu, Apr 11, 2024",New York Knicks,NYK,Boston Celtics,BOS
"Thu, Apr 11, 2024",Houston Rockets,HOU,Utah Jazz,UTA
"Thu, Apr 11, 2024",Golden State Warriors,GSW,Portland Trail Blazers,POR
"Thu, Apr 11, 2024",New Orleans Pelicans,NOP,Sacramento Kings,SAC
"Fri, Apr 12, 2024",Orlando Magic,ORL,Philadelphia 76ers,PHI
"Fri, Apr 12, 2024",Chicago Bulls,CHI,Washington Wizards,WAS
"Fri, Apr 12, 2024",Charlotte Hornets,CHA,Boston Celtics,BOS
"Fri, Apr 12, 2024",Indiana Pacers,IND,Cleveland Cavaliers,CLE
"Fri, Apr 12, 2024",Brooklyn Nets,BKN,New York Knicks,NYK
"Fri, Apr 12, 2024",Los Angeles Lakers,LAL,Memphis Grizzlies,MEM
"Fri, Apr 12, 2024",Toronto Raptors,TOR,Miami Heat,MIA
"Fri, Apr 12, 2024",Atlanta Hawks,ATL,Minnesota Timberwolves,MIN
"Fri, Apr 12, 2024",Milwaukee Bucks,MIL,Oklahoma City Thunder,OKC
"Fri, Apr 12, 2024",Denver Nuggets,DEN,San Antonio Spurs,SAS
"Fri, Apr 12, 2024",Detroit Pistons,DET,Dallas Mavericks,DAL
"Fri, Apr 12, 2024",New Orleans Pelicans,NOP,Golden State Warriors,GSW
"Fri, Apr 12, 2024",Houston Rockets,HOU,Portland Trail Blazers,POR
"Fri, Apr 12, 2024",Utah Jazz,UTA,Los Angeles Clippers,LAC
"Fri, Apr 12, 2024",Phoenix Suns,PHO,Sacramento Kings,SAC
"Sun, Apr 14, 2024",Washington Wizards,WAS,Boston Celtics,BOS
"Sun, Apr 14, 2024",Charlotte Hornets,CHA,Cleveland Cavaliers,CLE
"Sun, Apr 14, 2024",Atlanta Hawks,ATL,Indiana Pacers,IND
"Sun, Apr 14, 2024",Toronto Raptors,TOR,Miami Heat,MIA
"Sun, Apr 14, 2024",Chicago Bulls,CHI,New York Knicks,NYK
"Sun, Apr 14, 2024",Milwaukee Bucks,MIL,Orlando Magic,ORL
"Sun, Apr 14, 2024",Brooklyn Nets,BKN,Philadelphia 76ers,PHI
"Sun, Apr 14, 2024",Utah Jazz,UTA,Golden State Warriors,GSW
"Sun, Apr 14, 2024",Houston Rockets,HOU,Los Angeles Clippers,LAC
"Sun, Apr 14, 2024",Denver Nuggets,DEN,Memphis Grizzlies,MEM
"Sun, Apr 14, 2024",Phoenix Suns,PHO,Minnesota Timberwolves,MIN
"Sun, Apr 14, 2024",Los Angeles Lakers,LAL,New Orleans Pelicans,NOP
"Sun, Apr 14, 2024",Dallas Mavericks,DAL,Oklahoma City Thunder,OKC
"Sun, Apr 14, 2024",Portland Trail Blazers,POR,Sacramento Kings,SAC
"Sun, Apr 14, 2024",Detroit Pistons,DET,San Antonio Spurs,SAS
